Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,24,-1_avalanche_chris_conservative_exam,"['avalanche', 'chris', 'conservative', 'exam', 'cheltenham festival', 'card', 'border wall', 'meetings', 'scheme', 'race']","['Vermont avalanche injures 6 soldiers during Army training', ""Trump's border wall: A look at the numbers"", 'Cheltenham Festival 2018 LIVE - Champion Hurdle and race updates']",IWD_2018_Global,True,2
0,49,0_violence_students_lesson_bill,"['violence', 'students', 'lesson', 'bill', 'strike', 'accused', 'democratic', 'deputy', 'arizona', 'run']","['House passes school gun violence bill, one month after Florida school shooting', ""Police arrest two 18-year-old men over racist chanting outside Nottingham Trent University student's bedroom"", 'Arizona students protest gun violence in meetings at Capitol']",IWD_2018_Global,True,2
1,14,1_study finds_battle_best_scheme,"['study finds', 'battle', 'best', 'scheme', 'mother', 'doctors', 'born', 'bird', 'britain', 'wake']","['Vegetarian sections on restaurant menus encourage meat eating, study finds', 'First polar bear born in Britain this century takes first steps outside', 'British river has worst recorded microplastic pollution in the world, study finds']",IWD_2018_Global,True,2
2,11,2_trump border_interest_senate_fbi,"['trump border', 'interest', 'senate', 'fbi', 'donald', 'dnc', 'secretary', 'family', 'shulkin', 'wake']","[""Kevin McAleenan, Trump's border pick, advances in Senate"", ""Kevin McAleenan, Trump's Border Patrol pick, advances in Senate"", 'Rick Perry denies interest in VA job as Donald Trump mulls replacement']",IWD_2018_Global,True,2
3,10,3____,"['', '', '', '', '', '', '', '', '', '']","['5 europäische Filmschaffende, von denen Sie nicht gedacht hätten, dass sie noch nie einen Oscar gewonnen haben', '""Ankommen ist das eine, Heimischwerden das andere""', 'Es werde nass']",IWD_2018_Global,True,2
4,8,4_champions league_champions_action_arsenal,"['champions league', 'champions', 'action', 'arsenal', 'real madrid', 'liverpool', 'utd', 'didn', 'manchester', 'premier league']","['Tottenham vs Juventus, LIVE: Follow the Champions League action', 'Liverpool vs Porto, LIVE: Follow the Champions League action', 'PSG vs Real Madrid, RESULT: Follow all the Champions League action']",IWD_2018_Global,True,2
5,8,5_race_special election_arizona_conservative,"['race', 'special election', 'arizona', 'conservative', 'victory', 'republicans', 'plan', 'dnc', 'wake', 'white house']","['Scott Wagner targets non-citizen voting in wake of close Pa. special election', ""Pennsylvania special election: It's the strategy, Republicans. So what's the 2018 plan?"", 'Arizona special election features Debbie Lesko, Hiral Tipirneni: What to know about the race']",IWD_2018_Global,True,2
6,8,6_shulkin_job_david_chief,"['shulkin', 'job', 'david', 'chief', 'charged', 'top', 'national', 'white house', 'donald', 'white']","[""McMaster, Shulkin and Kelly could be next to go in White House 'bloodbath,' sources say"", 'Larry Kudlow accepts job of White House National Economic Council director, replaces Gary Cohn', 'Larry Kudlow joins as H.R. McMaster, David Shulkin rumored leaving White House']",IWD_2018_Global,True,2
7,7,7_real madrid_real_madrid_score,"['real madrid', 'real', 'madrid', 'score', '', '', '', '', '', '']","['Besiktas vs Bayern Munich LIVE score (0-5 agg): Get the latest updates', 'Ireland vs Scotland, LIVE score: Latest Six Nations updates', 'Eibar vs Real Madrid LIVE score and updates for La Liga clash']",IWD_2018_Global,True,2
8,5,8_professor_won_stars_peace,"['professor', 'won', 'stars', 'peace', 'never', 'look', 'life', 'doctors', 'bird', 'best']","[""Stephen Hawking greatest quotes: 'Remember to look up at the stars and not down at your feet'"", 'Why Professor Stephen Hawking never won the Nobel Prize', ""Professor Stephen Hawking now enjoying 'well-earned peace' after extraordinary life, says ex-wife""]",IWD_2018_Global,True,2
9,5,9_west_key_training_soldiers,"['west', 'key', 'training', 'soldiers', 'avalanche', 'national', 'home', '', '', '']","['Navy F/A-18 jet crashes off Key West, official says', 'Officials: Navy jet crashes off Key West', 'Navy F/A-18 jet crash off Key West leaves 2 aviators dead']",IWD_2018_Global,True,2
10,5,10_scientists_pressure_believe_attack,"['scientists', 'pressure', 'believe', 'attack', 'top', 'home', 'study finds', 'old', 'study', '']","['Knitting should be prescribed on NHS to lower blood pressure, reduce depression and slow dementia', 'Inevitable muscle wasting of old age could be stopped, scientists believe', 'Fewer heart attack patients die when top cardiologists are away at conferences, study finds']",IWD_2018_Global,True,2
11,4,11_plan_american__,"['plan', 'american', '', '', '', '', '', '', '', '']","[""Yes, canned soup may be fueling North Korea's air force"", 'Native American overdose deaths surge since opioid epidemic', 'Oklahoma officials plan to use nitrogen for executions']",IWD_2018_Global,True,2
12,4,12_democrats_scandal_inside_chris,"['democrats', 'scandal', 'inside', 'chris', 'blames', 'key', 'police', 'trump', '', '']","['Baltimore mayor opposes state probe of city police scandal', 'Trump blames Democrats for blocking key diplomatic posts', 'Inside the Beltway: Democrats on the verge of identity crisis']",IWD_2018_Global,True,2
13,4,13_wall_legislature_deal_border wall,"['wall', 'legislature', 'deal', 'border wall', 'bill', 'border', 'white house', 'white', 'house', '']","['White House hosts meeting of Israeli, Arab officials on aid for Gaza', 'White House says no temporary deal linking DACA with border wall funding', 'The Latest: DACA licensing bill approved by Legislature']",IWD_2018_Global,True,2
14,4,14_manchester_united_score premier_utd,"['manchester', 'united', 'score premier', 'utd', 'liverpool', 'last', 'premier league', 'old', 'champions league', 'score']","['Stoke City v Manchester City LIVE score - Premier League', 'Manchester United vs Sevilla LIVE score - Champions League last-16', 'Man Utd vs Liverpool LIVE score at Old Trafford - Premier League']",IWD_2018_Global,True,2
15,3,15_stop_david_card_accused,"['stop', 'david', 'card', 'accused', 'senate', 'violence', 'fbi', 'school', 'house', '']","['Opening arguments begin in NY suburban corruption trial', ""House OKs Stop School Violence Act, FBI's David Bowdich testifies on Nikolas Cruz failures to Senate"", 'Man accused of hacking ATMs to dispense cash without card']",IWD_2018_Global,True,2
16,3,16_victory_won_tax_lesson,"['victory', 'won', 'tax', 'lesson', 'democrats', 'special election', 'special', 'election', 'trump', '']","['Democratic midterm advantages become clearer', ""Trump pushes again for 'Phase Two' of tax cuts"", ""Special election's lesson: Where Trump once won big there's now a centrist path to victory for Democrats""]",IWD_2018_Global,True,2
17,3,17_britain_scientists_russian_far,"['britain', 'scientists', 'russian', 'far', 'blames', 'attack', 'strike', 'donald', 'white house', 'white']","['Russian scientists zap tiny asteroids with lasers to protect Earth from deadly strike', 'White House blames Russia for nerve agent attack in Britain', 'Facebook boots Britain First, far-right U.K. group retweeted by Donald Trump']",IWD_2018_Global,True,2
18,3,18_tottenham_score premier_arsenal_premier league,"['tottenham', 'score premier', 'arsenal', 'premier league', 'premier', 'west', 'league', 'score', '', '']","['West Ham vs Burnley, LIVE: Latest Premier League scores and updates', 'Arsenal vs Watford LIVE score updates at Emirates - Premier League', 'Bournemouth 1-0 Tottenham LIVE score updates - Premier League']",IWD_2018_Global,True,2
19,2,19_mother_festival_cheltenham festival_cheltenham,"['mother', 'festival', 'cheltenham festival', 'cheltenham', 'champion', '', '', '', '', '']","['From Lyrids to Perseids: Meteor showers to watch out for in 2018', 'Cheltenham Festival 2018 LIVE: Day 2 - Queen Mother Champion Chase']",IWD_2018_Global,True,2
