publisher,is_control,event_topic_label,n_articles,total_articles,topic_share_pct,event_label
Associated Press News,False,"California, Climate, Debate",2,9,22.22,Roe_Leak_Protests_2022
Associated Press News,False,"Cover, Hotel, Threatens",1,9,11.11,Roe_Leak_Protests_2022
Associated Press News,False,"Draft, Hopes, Lottery",1,9,11.11,Roe_Leak_Protests_2022
Associated Press News,False,"Nato, Saudi, Sports",5,9,55.56,Roe_Leak_Protests_2022
Business Insider,False,"Ban, Donald, Social media",3,50,6.0,Roe_Leak_Protests_2022
Business Insider,False,"Bill gates, Covid, Taiwan",3,50,6.0,Roe_Leak_Protests_2022
Business Insider,False,"Charles, Cost living, Speech",14,50,28.0,Roe_Leak_Protests_2022
Business Insider,False,"Cover, Hotel, Threatens",1,50,2.0,Roe_Leak_Protests_2022
Business Insider,False,"Daily, Summer, Teen mom",1,50,2.0,Roe_Leak_Protests_2022
Business Insider,False,"Democrats, Senate, Supreme court",3,50,6.0,Roe_Leak_Protests_2022
Business Insider,False,"Fur, Putin, Ukraine",2,50,4.0,Roe_Leak_Protests_2022
Business Insider,False,"List, Virginia, Wrong",4,50,8.0,Roe_Leak_Protests_2022
Business Insider,False,"Nato, Saudi, Sports",19,50,38.0,Roe_Leak_Protests_2022
CBC News,False,"Bill gates, Covid, Taiwan",4,9,44.44,Roe_Leak_Protests_2022
CBC News,False,"California, Climate, Debate",2,9,22.22,Roe_Leak_Protests_2022
CBC News,False,"Draft, Hopes, Lottery",1,9,11.11,Roe_Leak_Protests_2022
CBC News,False,"League, Liverpool, Test",1,9,11.11,Roe_Leak_Protests_2022
CBC News,False,"Nato, Saudi, Sports",1,9,11.11,Roe_Leak_Protests_2022
CNBC,False,"Ban, Donald, Social media",1,50,2.0,Roe_Leak_Protests_2022
CNBC,False,"Bill gates, Covid, Taiwan",6,50,12.0,Roe_Leak_Protests_2022
CNBC,False,"Charles, Cost living, Speech",30,50,60.0,Roe_Leak_Protests_2022
CNBC,False,"Fur, Putin, Ukraine",2,50,4.0,Roe_Leak_Protests_2022
CNBC,False,"League, Liverpool, Test",1,50,2.0,Roe_Leak_Protests_2022
CNBC,False,"Nato, Saudi, Sports",10,50,20.0,Roe_Leak_Protests_2022
Daily Mail,False,"Appeal, Killed, Mystery",1,50,2.0,Roe_Leak_Protests_2022
Daily Mail,False,"Bill gates, Covid, Taiwan",2,50,4.0,Roe_Leak_Protests_2022
Daily Mail,False,"California, Climate, Debate",1,50,2.0,Roe_Leak_Protests_2022
Daily Mail,False,"Charles, Cost living, Speech",5,50,10.0,Roe_Leak_Protests_2022
Daily Mail,False,"Contest, Final, Song",1,50,2.0,Roe_Leak_Protests_2022
Daily Mail,False,"Cover, Hotel, Threatens",3,50,6.0,Roe_Leak_Protests_2022
Daily Mail,False,"Democrats, Senate, Supreme court",3,50,6.0,Roe_Leak_Protests_2022
Daily Mail,False,"Draft, Hopes, Lottery",8,50,16.0,Roe_Leak_Protests_2022
Daily Mail,False,"Fur, Putin, Ukraine",5,50,10.0,Roe_Leak_Protests_2022
Daily Mail,False,"League, Liverpool, Test",3,50,6.0,Roe_Leak_Protests_2022
Daily Mail,False,"List, Virginia, Wrong",1,50,2.0,Roe_Leak_Protests_2022
Daily Mail,False,"Nato, Saudi, Sports",17,50,34.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Bill gates, Covid, Taiwan",1,50,2.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Daily, Summer, Teen mom",1,50,2.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Fur, Putin, Ukraine",40,50,80.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"League, Liverpool, Test",2,50,4.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Millones euros, Mujeres, Vestido",1,50,2.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Nato, Saudi, Sports",3,50,6.0,Roe_Leak_Protests_2022
Deutsche Welle,False,"Nine, Polls, Retour",2,50,4.0,Roe_Leak_Protests_2022
Die Tageszeitung (taz),False,"Fur, Putin, Ukraine",46,50,92.0,Roe_Leak_Protests_2022
Die Tageszeitung (taz),False,"Nato, Saudi, Sports",2,50,4.0,Roe_Leak_Protests_2022
