Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,340,-1_instagram_change_fight_culture,"['instagram', 'change', 'fight', 'culture', 'champions', 'migrant', 'joe biden', 'shows', 'nuevos', 'must']","['The 10 best TV shows to watch this week, from Line of Duty to Kate Garraway: Finding Derek', 'Current Cuomo aide Alyssa McGrath accuses governor of sexual harassment', 'Arsenal boost Champions League hopes with WSL win over Manchester United']",Sarah_Everard_Vigils_2021,False,15
0,150,0_corona_impfen_deutschland_turkei,"['corona', 'impfen', 'deutschland', 'turkei', 'gewalt', 'stream', 'nord', 'interview', 'oberlandesgericht', 'mexiko regierung']","['Corona-Modellstadt Tübingen – eine Idee für Deutschland?', 'Grenze zu Mexiko: US-Regierung warnt vor illegaler Einreise', 'Entwicklung von Corona in Berlin: Zwischen Hoffen, Bangen und Impfen']",Sarah_Everard_Vigils_2021,False,15
1,99,1_cuomo_police_arrested_federal,"['cuomo', 'police', 'arrested', 'federal', 'aide', 'died', 'andrew', 'teen', 'sexual harassment', 'investigation']","['Current aide says Gov. Andrew Cuomo sexually harassed her, bringing number of accusers to 9', 'NY governor Cuomo facing fresh sexual harassment allegation from current aide', 'Alyssa McGrath, Andrew Cuomo current aide, makes sexual harassment allegation']",Sarah_Everard_Vigils_2021,False,15
2,84,2_pays_paris_nord_rutte,"['pays', 'paris', 'nord', 'rutte', 'projet', 'est', 'theatre', 'peur', 'platz', 'serie']","[""Pays-Bas : Mark Rutte en quête d'une nouvelle coalition"", 'Quel genre de confinement, ou quelles autres restrictions, à Paris et dans le nord de la France ?', 'La Finlande, pays le plus heureux du monde']",Sarah_Everard_Vigils_2021,False,15
3,84,3_europe_pandemic_jab_cases,"['europe', 'pandemic', 'jab', 'cases', 'access', 'est', 'contre', 'vaccins', 'vaccin astrazeneca', 'covid outbreak']","[""Exclusive: Europe's stance on AstraZeneca jab is irresponsible, says vaccine tsar"", ""Covid-19 : l'Europe attend le verdict sur le vaccin AstraZeneca"", ""Britain's excess death rate for under-65s among Europe's worst during Covid pandemic""]",Sarah_Everard_Vigils_2021,False,15
4,56,4_stimulus_tax_nicola sturgeon_ceo,"['stimulus', 'tax', 'nicola sturgeon', 'ceo', 'census', 'cannabis', 'visa', 'shares', 'start', 'labour']","['ANDREW NEIL: What irony if Nicola Sturgeon is reason union survives', 'Nicola Sturgeon faces pivotal week with Alex Salmond reports due', ""Parents with college kids are getting one big stimulus check for the family — here's what to do with all that cash""]",Sarah_Everard_Vigils_2021,False,15
5,43,5_pregnant_princess_reveals_banned,"['pregnant', 'princess', 'reveals', 'banned', 'father', 'derek', 'tickets', 'piers', 'kate garraway', 'wedding']","['Kate Beckinsale pens emotional tribute to late father 42 years after his death: ‘We were never the same again’', 'Katie Price reveals her biggest regret in life that she fears could stop her having FOUR more kids...', 'Kate Garraway: Finding Derek: When the Derek Draper documentary is on ITV, and what happened to him']",Sarah_Everard_Vigils_2021,False,15
6,38,6_atlanta_harris_violence_spa shootings,"['atlanta', 'harris', 'violence', 'spa shootings', 'president biden', 'atlanta spa', 'trial', 'leaders', 'capitol', 'order']","['Atlanta spa shootings: How we talk about violence', ""In Atlanta speech, President Biden calls for an end to anti-Asian attacks and says that Georgia 'made it possible to pass the American Rescue Plan'"", 'Biden and Harris to meet with Asian American leaders in Atlanta after deadly Georgia shooting spree']",Sarah_Everard_Vigils_2021,False,15
7,36,7_final_hora_diet_uruguay,"['final', 'hora', 'diet', 'uruguay', 'acumula', 'cost', 'gobierno', 'nuevos', 'registra', 'president']","['Wall Street acumula pérdidas semanales tras la reunión de la Reserva Federal', 'Cuba en la recta final de su vacuna y una semana de nuevos récords en Brasil', ""Brazil security law being turned on president's critics""]",Sarah_Everard_Vigils_2021,False,15
8,23,8_red nose_comic relief_line duty_starts,"['red nose', 'comic relief', 'line duty', 'starts', 'stream', 'winter', 'nations', 'song', 'walter', 'yes']","['When is Red Nose Day 2021? Comic Relief date, theme, line-up and how to get involved', 'When is Red Nose Day 2021? Comic Relief date, theme, line-up and how to get involved today', 'How to watch Comic Relief 2021 tonight: Red Nose Day TV schedule, line-up and what time it starts on BBC One']",Sarah_Everard_Vigils_2021,False,15
9,22,9_league draw_united_premier league_ireland,"['league draw', 'united', 'premier league', 'ireland', 'policy', 'recognising signs', 'rangers glen', 'probably', 'hand', 'gradi']","['Europa League draw paves way for potential all-English final', ""Dario Gradi apologises for not recognising 'signs' that child footballers had been sexually abused"", ""Rangers' Glen Kamara demands Uefa action over alleged racist remark""]",Sarah_Everard_Vigils_2021,False,15
10,19,10_meghan_music_claims_interview,"['meghan', 'music', 'claims', 'interview', 'theatre', 'oscars', 'diana', 'tennessee', 'racism', 'target']","['Meghan Markle and Prince Harry Oprah interview slammed as ‘unbalanced piece of theatre’ in 4,398 Ofcom com...', 'Appropriate review – STC production a grand family story in the tradition of Tennessee Williams', 'Prince Charles ‘enormously let down’ by Meghan & Harry’s racism claims and relationship is ‘complicated’, s...']",Sarah_Everard_Vigils_2021,False,15
11,17,11_bayern_macht_lockdown_mussen,"['bayern', 'macht', 'lockdown', 'mussen', 'chef', 'bundestrainer', 'arger', 'platz', 'hebt', 'csu']","['Cloud-based tech is being used at a major German port to boost efficiency in shipping', 'RB Leipzig schlägt Arminia Bielefeld in der Bundesliga: Sabitzer macht den Bayern Druck', 'Sieg gegen Arminia Bielefeld: Leipzig macht wieder Druck auf den FC Bayern']",Sarah_Everard_Vigils_2021,False,15
