Topic,Count,Name,Representation,Representative_Docs
-1,2214,-1_france_death_biden_fur,"['france', 'death', 'biden', 'fur', 'children', 'culture', 'covid', 'euro', 'court', 'etats unis']","[""Biden takes aim at MAGA Republicans in Virginia Beach health care speech: 'Different breed of cat'"", ""Amy Coney Barrett joins liberal Supreme Court justices in scrutinizing a student-loan company's involvement in one of the lawsuits blocking Biden's debt relief"", ""Donald Trump warns Michigan voters that Joe Biden's energy plan would ruin the state's economy""]"
0,1725,0_guerre_ukraine_krieg_deutschland,"['guerre', 'ukraine', 'krieg', 'deutschland', 'russie', 'spiegel politik', 'euros', 'wegen', 'scholz', 'jazz']","['""Dieses Video hat mich fast das Leben gekostet"" - DER SPIEGEL - Politik', 'Mexiko: Präsident beruft neue Sicherheitsministerin im Kampf gegen Kartelle - DER SPIEGEL - Politik', 'Antikörperstudie in Bayern: Deutlich mehr Kinder und Jugendliche mit Corona infiziert - DER SPIEGEL - Wissenschaft']"
1,584,1_abortion_labour_election_democrats,"['abortion', 'labour', 'election', 'democrats', 'cuomo', 'brexit', 'northern ireland', 'meghan', 'biden', 'nicola']","[""A probe by GOP Sen. Chuck Grassley found that LA Mayor Eric Garcetti 'likely' was aware of sexual harassment, racism allegations against a ex-senior aide"", 'Keir Starmer says ‘no reason’ for Labour civil war after Jeremy Corbyn suspended over anti-Semitism report', 'Rishi Sunak’s Brexit deal won’t revive Tory fortunes on its own – he must tackle migrant crisis & NHS...']"
2,456,2_earnings_earnings snapshot_stocks_student loan,"['earnings', 'earnings snapshot', 'stocks', 'student loan', 'debt', 'forgiveness', 'fed', 'liz truss', 'biggest moves', 'recession']","['Stocks making the biggest moves midday: Oracle, Slack, Carnival & more', ""Stocks making the biggest moves midday: FedEx, Boeing, Ally, Domino's and more"", ""As the Supreme Court weighs in on Biden’s student loan forgiveness plan, here's a look back at how we got here""]"
3,408,3_transfer_liverpool_utd_chelsea,"['transfer', 'liverpool', 'utd', 'chelsea', 'premier league', 'eurovision', 'champions league', 'manchester united', 'win', 'laver cup']","['Crystal Palace vs Man Utd, LIVE: Follow all the Premier League action', ""Arsenal take command of race for final Women's Champions League spot after defeating Manchester United"", 'Benfica vs Manchester United LIVE: Follow the Champions League action']"
4,372,4_katie_comic relief_carl_line,"['katie', 'comic relief', 'carl', 'line', 'tears', 'strictly dancing', 'cast', 'itv', 'tonight', 'daughter']","['Katie Price’s boyfriend Carl Woods calls Harvey ‘talented’ as he does sweet drawing of his mum...', 'How to watch Comic Relief 2021 tonight: Red Nose Day TV schedule, line-up and what time it starts on BBC One', 'Katie Price’s boyfriend Carl Woods poses naked in their bed after she sparked rumours she’s pregnant with ‘...']"
5,179,5_vaccine_coronavirus_bill gates_registra,"['vaccine', 'coronavirus', 'bill gates', 'registra', 'tests positive', 'belgium', 'covid pandemic', 'lab', 'restrictions', 'vaccin astrazeneca']","['Boris Johnson receives Oxford/AstraZeneca Covid vaccine', 'Bill Gates tests positive for Covid, says he has ‘mild symptoms’', 'Bill Gates tests positive for Covid, says he has ‘mild symptoms’']"
6,179,6_teen_harvey_sentenced_mask,"['teen', 'harvey', 'sentenced', 'mask', 'officer', 'murders', 'cdc', 'sexual assault', 'barber', 'arrest']","[""Memphis teen 1 of 2 charged in church leader's 2022 killing"", ""A QAnon supporter who told police to 'go arrest the vice president' at the Capitol riot and then scaled the walls of the Capitol building and chased an officer up a staircase has been convicted for Jan. 6"", ""Memphis teen 1 of 2 charged in church leader's 2022 killing""]"
7,178,7_nba_rangers_draft_scores,"['nba', 'rangers', 'draft', 'scores', 'watson', 'brady', 'dakota', 'seasons', 'patrick kane', 'mets']","['Canadiens win NHL draft lottery, will pick first overall', 'Longtime Blackhawks star Patrick Kane set to join Rangers in trade', 'Tom Brady agrees to join Fox Sports as lead NFL game day analyst whenever his career ends, CEO Lachlan Murdoch says']"
8,158,8_putin_nato_russians_ukraine aid,"['putin', 'nato', 'russians', 'ukraine aid', 'russia ukraine', 'moldova', 'serbien', 'nuclear weapons', 'sanctions', 'kremlin']","['House passage of $40B Ukraine aid bill expected, Senate next', 'Finland and Sweden Aim for NATO Membership, Prompting Russia’s Fury', 'The Biden administration has been privately warning Russia against using nuclear weapons in Ukraine for months, report says']"
9,149,9_elon musk_twitter_tiktok_apple,"['elon musk', 'twitter', 'tiktok', 'apple', 'ads', 'ban', 'tesla', 'adidas', 'tesco', 'donald trump']","['Elon Musk pledges to overturn Twitter’s ban on Donald Trump', ""Elon Musk says he would reverse Donald Trump's Twitter ban"", ""Elon Musk would reverse Donald Trump's Twitter ban""]"
10,134,10_fiona_climate change_hurricane_change,"['fiona', 'climate change', 'hurricane', 'change', 'emissions', 'storm ian', 'drought', 'evacuations', 'scotia', 'surplus']","['Post-tropical storm Fiona live hundreds of thousands without power', ""Storm Fiona Hammers Canada's East Coast Forcing Evacuations"", 'Post-tropical storm Fiona pummels East Coast, washing away houses and leaving hundreds of thousands without power']"
11,90,11_taiwan_north korea_missile_chinese,"['taiwan', 'north korea', 'missile', 'chinese', 'sea', 'military', 'fires', 'unemployment', 'propaganda', 'gaetz']","['South Korea says North Korea test-fired missile toward sea', 'South Korea says North Korea test-fired missile toward sea', 'North Korea fires ballistic missile, South Korea military says']"
12,87,12_border_boat_migrants_refugee,"['border', 'boat', 'migrants', 'refugee', 'asylum seekers', 'turkey', 'mexican president', 'resort', 'dominican', 'miracle']","['Report: US turning away asylum-seekers at border is flawed', 'US turning away asylum-seekers at border is flawed', 'Death Toll Continues to Rise in Italian Migrant Boat Shipwreck']"
13,71,13_meloni_nigeria_philippines_italia,"['meloni', 'nigeria', 'philippines', 'italia', 'opposition', 'electoral', 'energy crisis', 'magufuli', 'presidentielle', 'parti']","[""Giorgia Meloni's far right vision: Italy's first female PM?"", ""Meloni 'ready to break taboo' and become Italy's first female PM"", ""Meloni 'ready to break taboo' and become Italy's first female PM""]"
14,69,14_spy_cia_jet_crash,"['spy', 'cia', 'jet', 'crash', 'pentagon', 'marshals', 'terrorists', 'airlines', 'landing', 'leaked']","['Africa Air Traffic Control Strike Grounds Flights Across Region', 'Criminal Charges DROPPED Against Disruptive American Airlines Passenger Accused Of Trying To Breach Cockpit - Causing Plane To Make Emergency Landing', 'Air traffic control strike disrupts flights across West Africa']"
15,68,15_schools_asian_students_headteachers,"['schools', 'asian', 'students', 'headteachers', 'shootings', 'california gov', 'lesson', 'gun violence', 'accidentally fires', 'taunts']","['Ted Cruz was booed by a Texas audience when he said his plan to end school shootings is putting more police officers in schools', ""In Atlanta speech, President Biden calls for an end to anti-Asian attacks and says that Georgia 'made it possible to pass the American Rescue Plan'"", 'House passes school gun violence bill, one month after Florida school shooting']"
