Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,448,-1_wegen_study_nachrichten_chicago,"['wegen', 'study', 'nachrichten', 'chicago', 'election', 'labor', 'gop', 'takes', 'female', 'emissions']","['Neil Mitchell calls out top Labor minister over Twitter video', 'Jungle queen Jill Scott lined up to become first-ever female coach of a men’s side as she joins Man City...', ""Hundreds of Amazon employees join a new Slack channel to support the company's return-to-office policy after 'sensing the danger' of others calling for permanent remote work""]",Israeli_Womens_Protests_2023,False,15
0,252,0_fox_family_arrested_footage,"['fox', 'family', 'arrested', 'footage', 'tom', 'killed', 'jan', 'tucker carlson', 'ryan', 'survivor']","['Family of actor Tom Sizemore say they are ‘deciding end of life matters’', 'McCarthy defends giving Tucker Carlson Jan. 6 trove access', 'McCarthy defends giving Tucker Carlson Jan. 6 trove access']",Israeli_Womens_Protests_2023,False,15
1,143,1_militar_nuclear_diana_diverses,"['militar', 'nuclear', 'diana', 'diverses', 'djokovic', 'juventus', 'zara', 'norbert bilbeny', 'shakira', 'ukrainien']","['Las Pléyades, por Norbert Bilbeny', ""Andres Manuel Lopez Obrador, Mexican president: Mexico has 'more liberty and democracy' than U.S."", '« L’intelligence artificielle est en train de connaître son “moment iPhone” et va bouleverser la société comme le fit Apple en 2007 »']",Israeli_Womens_Protests_2023,False,15
2,140,2_home_market_surplus_novavax,"['home', 'market', 'surplus', 'novavax', 'tax', 'workers', 'estate', 'takeaways', 'norwegian', 'oil project']","['Amazon is trying to fix employee frustration over plunging pay by letting them pledge stock for home loans in a deal with Better', 'Stocks making the biggest moves midday: Norwegian Cruise Line, Target, Advance Auto Parts and more', 'DOE grants $375M loan for lithium battery recycling plant']",Israeli_Womens_Protests_2023,False,15
3,114,3_spd_koalition_geht_deutschland,"['spd', 'koalition', 'geht', 'deutschland', 'fall wermelskirchen', 'haftstrafe', 'offenbar', 'problem', 'hinweise', 'missbrauchstater']","['Berliner SPD: Giffey tendiert offenbar zu Koalition mit CDU', 'Haftstrafe im Missbrauchsfall Wermelskirchen: „Die Kinder sind für Sie beatmete Sex-Toys“', 'Fall Wermelskirchen: Hohe Haftstrafe für Missbrauchstäter']",Israeli_Womens_Protests_2023,False,15
4,99,4_turquie_est_fevrier_nouveau,"['turquie', 'est', 'fevrier', 'nouveau', 'monde', 'euro', 'noel graet', 'irlande nord', 'fff', 'chef']","['Football : Noël Le Graët quitte la FFF et pourrait rebondir à la FIFA', ""Après l'accord avec l'UE, Rishi Sunak doit désormais convaincre l'Irlande du Nord"", 'Noël Le Graët après sa démission de la FFF : « C’est une cabale politico-médiatique bien organisée »']",Israeli_Womens_Protests_2023,False,15
5,70,5_russia_putin_russie_tense,"['russia', 'putin', 'russie', 'tense', 'operation', 'jens stoltenberg', 'nhl', 'nato', 'nehmen', 'wissenschaft']","['Ukraine-Krieg: Dänemark schafft Feiertag ab, um Wehretat zu finanzieren', 'Putin may never come to trial, so let’s help Ukraine act on Russian war crimes now', 'War in Ukraine: Drones crash in Russia, Putin orders tighter security']",Israeli_Womens_Protests_2023,False,15
6,56,6_cup_foden_pick_bristol,"['cup', 'foden', 'pick', 'bristol', 'solomon', 'debut', 'finally', 'return', 'crash', 'wolves']","['Guardiola lauds Foden’s ‘flabbergasting’ return to form after win over Bristol City', 'Bristol City 0 Man City 3: Phil Foden brace sees Pep Guardiola’s men keep treble dream alive with FA Cup c...', 'Manchester City into FA Cup quarter-finals as Foden bares teeth in Bristol']",Israeli_Womens_Protests_2023,False,15
7,54,7_covid_chinese_hearing_lab,"['covid', 'chinese', 'hearing', 'lab', 'coal', 'propaganda', 'parliamentary committee', 'pentagon', 'pandemic', 'meet']","['Parliamentary committee asks to see Canada Soccer deal with Canadian Soccer Business', ""China's CCP warns Elon Musk against sharing Wuhan lab leak report"", 'Watch live: U.S. House China panel holds first hearing after lawmakers push seven bills targeting Beijing']",Israeli_Womens_Protests_2023,False,15
8,36,8_supreme court_debt_biden_majority,"['supreme court', 'debt', 'biden', 'majority', 'schools', 'board votes', 'college conservative', 'benefits', 'conservative board', 'votes abolish']","[""Ayanna Pressley says it's not time for a student-debt relief backup plan yet, as a conservative-majority Supreme Court decides whether Biden's plan is legal"", 'Supreme Court weighs Biden student loan plan worth billions', 'Supreme Court Weighs Biden Student Loan Plan Worth Billions']",Israeli_Womens_Protests_2023,False,15
9,36,9_northern_brexit_rishi sunak_needs,"['northern', 'brexit', 'rishi sunak', 'needs', 'veto', 'mps', 'breakthrough', 'welcomes', 'texts', 'johnson']","['Rishi Sunak faces anxious wait to see if DUP and Tory Brexiteers will back his new Northern Ireland deal', '‘Veto’ on EU laws the key to success of Rishi Sunak’s Brexit deal – how it works and t', 'Rishi Sunak urges Tory MPs to get behind his deal — and not let fox Keir Starmer into the Brexit henhouse...']",Israeli_Womens_Protests_2023,False,15
10,24,10_train_ohio_derailment_dozens,"['train', 'ohio', 'derailment', 'dozens', 'department', 'disaster', 'ford', 'newspaper', 'migrant boat', 'smuggling']","['Train disaster risks high, despite dire warnings like toxic Ohio crash, Lac-Mégantic tragedy', 'US environmental agency opens office near site of Ohio toxic train derailment', 'Even Liberal Newspaper Admits Trump Admin Did Nothing to Contribute to Ohio Train Derailment - President Trump Responds']",Israeli_Womens_Protests_2023,False,15
11,24,11_seasons_coach_contract_seattle,"['seasons', 'coach', 'contract', 'seattle', 'retirement', 'nhl', 'sean', 'knee', 'rodgers', 'eyes']","['Longtime Blackhawks star Patrick Kane set to join Rangers in trade', 'New York Rangers acquire Blackhawks star Patrick Kane in blockbuster trade', 'Blackhawks trade franchise legend Patrick Kane to Rangers after 16 seasons in Chicago: reports']",Israeli_Womens_Protests_2023,False,15
12,22,12_tiktok_parliament_security_ban,"['tiktok', 'parliament', 'security', 'ban', 'mobile', 'canadian', 'conservatives', 'instagram influencer', 'thunberg wind', 'federal']","['Chinese-Owned TikTok Banned on Canadian Government Mobile Devices', ""Denmark's parliament urges staff to delete TikTok over security fears"", ""Denmark's parliament urges staff to delete TikTok over security fears""]",Israeli_Womens_Protests_2023,False,15
13,18,13_iranian_iaea_pressure_offenbar,"['iranian', 'iaea', 'pressure', 'offenbar', 'fils', 'enrichment', 'entdeckt', 'must', 'view', 'plane']","['IAEA bestätigt Spuren von fast waffenfähigem Uran in Iran', 'IAEA bestätigt Spuren von fast waffenfähigem Uran im Iran', 'West must keep up pressure on Iranian regime: son of former Shah']",Israeli_Womens_Protests_2023,False,15
14,16,14_festival_jury_awards_pop,"['festival', 'jury', 'awards', 'pop', 'swedish', 'rowling', 'cancel', 'nouveau', 'harry', 'look']","['Hogwarts Legacy : J. K. Rowling de nouveau face à la «cancel culture»', 'Swedish director Ruben Östlund to preside over Cannes Film Festival', ""A final 'hé ho' for departing Festival du Voyageur executive director""]",Israeli_Womens_Protests_2023,False,15
15,16,15_desantis_disney_health care_speech,"['desantis', 'disney', 'health care', 'speech', 'joe biden', 'beltway', 'different', 'white house', 'hunger', 'maga']","['Joe Biden Slurs, Invents a New Language in Virginia Speech (VIDEO)', 'Watch live: Biden warns of GOP plans to curb access to health-care', ""Biden takes aim at MAGA Republicans in Virginia Beach health care speech: 'Different breed of cat'""]",Israeli_Womens_Protests_2023,False,15
