Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,284,-1_sports_nato_saudi_pandemic,"['sports', 'nato', 'saudi', 'pandemic', 'chef', 'children', 'denies', 'maga', 'workers', 'violence']","[""Bullet pierced window at Virginia attorney general's office, police say"", 'Rental and social housing reforms will put stop to damp and unsafe homes – Gove', 'Rental and social housing reforms will put stop to damp and unsafe homes, says Michael Gove']",Roe_Leak_Protests_2022,False,15
0,443,0_fur_ukraine_putin_uber,"['fur', 'ukraine', 'putin', 'uber', 'wegen', 'podcast', 'warhol', 'northern ireland', 'euros', 'next']","['As Russia Defends Ukraine War, Europe Reaffirms Support for Kyiv', 'The National Security Bill is a vital tool to keep the British public safe', 'House passage of $40B Ukraine aid bill expected, Senate next']",Roe_Leak_Protests_2022,False,15
1,133,1_cost living_speech_charles_energy,"['cost living', 'speech', 'charles', 'energy', 'prices', 'cash', 'crisis', 'inflation', 'consumer', 'stocks']","['Cabinet talks could spark further cost-of-living help, minister...', 'Government to announce cost-of-living ‘fix’ by end of the month after Queen’s Speech criticism', 'British Gas hires 500 staff to help customers struggling to pay energy bills amid cost of living crisis']",Roe_Leak_Protests_2022,False,15
2,121,2_vestido_mujeres_millones euros_fin,"['vestido', 'mujeres', 'millones euros', 'fin', 'minimum wage', 'ancient', 'estudio', 'barcelona', 'transit', 'mitad']","['¿No querías Robles? Toma dos tazas', 'España paga más de tres millones de euros en abogados para no devolver el Pissarro del Thyssen robado por los nazis', 'El regreso de Charlene: pelo rockero, vestido denim y ¿12 millones de euros?']",Roe_Leak_Protests_2022,False,15
3,85,3_daily_summer_teen mom_deborah james,"['daily', 'summer', 'teen mom', 'deborah james', 'kathy', 'netflix', 'tonight', 'mohsin', 'montgomery', 'died']","['Teen Mom Leah Messer accused of putting her new puppy in DANGER by letting him play unleashed in the street...', 'Deborah James: BBC cancer podcast host raises £1m after heartbreaking goodbye following move to hospice care', 'Who is Deborah James? Bowel cancer campaigner behind BBC podcast whose Bowelbabe fund raised £1m in hours']",Roe_Leak_Protests_2022,False,15
4,62,4_supreme court_democrats_senate_approves,"['supreme court', 'democrats', 'senate', 'approves', 'justices', 'california', 'blue', 'alito', 'sen', 'book']","['NJ Supreme Court rules Sundiata Acoli, former Black Panther, can be released on parole', ""Protests outside Supreme Court justices' homes 'cross a bright red line': Howard Kurtz"", ""Tim Scott rebukes WH letting 'chaos' reign in harassment of Supreme Court justices""]",Roe_Leak_Protests_2022,False,15
5,57,5_covid_bill gates_taiwan_pfizer,"['covid', 'bill gates', 'taiwan', 'pfizer', 'tariffs', 'students', 'deaths', 'mitad', 'firms', 'migraine']","['Bill Gates tests positive for Covid, says he has ‘mild symptoms’', 'Bill Gates say he has COVID, experiencing mild symptoms', 'Bill Gates says he has tested positive for COVID-19']",Roe_Leak_Protests_2022,False,15
6,47,6_threatens_hotel_cover_leader,"['threatens', 'hotel', 'cover', 'leader', 'haiti', 'struggles', 'journalists', 'help victims', 'migrants', 'shortages']","['Female Channel migrants and their children will be sent to Rwanda too – in the name of equality', 'Lies, Murders, and a Cover-Up: The Ayotzinapa Report Sheds Light on the Mexican Military’s Role', 'DOJ alleges Haiti gang kidnapped Christian missionaries to free leader']",Roe_Leak_Protests_2022,False,15
7,42,7_liverpool_league_test_fifa,"['liverpool', 'league', 'test', 'fifa', 'reform', 'jurgen', 'urges', 'become', 'highlights', 'uefa']","['Aston Villa vs Liverpool live: score and latest updates from the Premier League', ""Premier League : En s'imposant à Aston Villa, Liverpool met la pression sur City mais perd Fabinho"", 'Jürgen Klopp says Liverpool ‘still chasing like mad’ for Premier League']",Roe_Leak_Protests_2022,False,15
8,27,8_ban_donald_social media_lift,"['ban', 'donald', 'social media', 'lift', 'overturn', 'tesla', 'chef', 'gas prices', 'implants', 'invest']","[""Elon Musk says he would reverse Donald Trump's Twitter ban"", ""Musk says he would reverse Twitter's ban of Donald Trump"", 'Elon Musk says he would lift Twitter ban on Donald Trump after deal closes']",Roe_Leak_Protests_2022,False,15
9,27,9_draft_lottery_hopes_manager,"['draft', 'lottery', 'hopes', 'manager', 'torn', 'bob', 'pick', 'real', 'brittney griner', 'edmonton']","['Canadiens win NHL draft lottery; Devils move up to No. 2', 'Canadiens win NHL draft lottery; Devils move up to No. 2', 'Canadiens win NHL draft lottery, will pick first overall']",Roe_Leak_Protests_2022,False,15
10,24,10_song_contest_final_games,"['song', 'contest', 'final', 'games', 'prix', 'unveiled', 'platinum', 'palace', 'esc', 'grande']","['Eurovision Song Contest 2022, first semi-final review: Norway kicks off the craziness with a real howler', 'What time is Eurovision 2022? When the Song Contest final starts, TV channel and how to watch live stream', 'Who is Ukraine’s Eurovision 2022 entry? Why Kalush Orchestra are being tipped to win the Song Contest']",Roe_Leak_Protests_2022,False,15
11,21,11_climate_debate_california_water,"['climate', 'debate', 'california', 'water', 'court rules', 'alberta', 'conservative', 'impact', 'chance', 'candidates']","['Watch the Ontario party leaders square off in northern debate here at 1 p.m. ET', 'Party leaders arrive for northern Ontario debate', 'In first leaders’ debate of Ontario election, party leaders paid no attention to the issue that matters most: Cost of living']",Roe_Leak_Protests_2022,False,15
12,19,12_polls_retour_nine_returning,"['polls', 'retour', 'nine', 'returning', 'presidence', 'elections', 'sohn', 'nouvelle', 'prasident', 'taiwan']","['Washington minimise la portée de sa nouvelle «fiche technique» sur Taïwan qui agace Pékin', 'The Son of Ferdinand Marcos May Be Hours From Returning the Family to Power', ""Philippines election winner Ferdinand Marcos Jr, 'Bongbong', tells world to judge him by actions, not family's""]",Roe_Leak_Protests_2022,False,15
13,18,13_mystery_killed_appeal_alleged,"['mystery', 'killed', 'appeal', 'alleged', 'hotel', 'bullet pierced', 'attorney general', 'pierced window', 'pleads guilty', 'salvador']","['Hannah Tubbs, trans child molester, pleads not guilty to murder, robbery charges', ""Police: Bullet pierced window at attorney general's office"", 'Who killed Kathleen Peterson? Why Michael Peterson’s murder case depicted in The Staircase remains a mystery']",Roe_Leak_Protests_2022,False,15
14,16,14_virginia_list_wrong_election,"['virginia', 'list', 'wrong', 'election', 'resign', 'gop senate', 'senate primary', 'scott', 'pennsylvania gop', 'fatigue']","[""A guide to Tuesday's primary election in West Virginia"", 'Polls close in West Virginia, where Trump is front and center in bitter GOP congressional primary', 'Fox News Poll: Three-way race in Pennsylvania GOP Senate primary election']",Roe_Leak_Protests_2022,False,15
