url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.lefigaro.fr/sports/football/allemagne/coupe-d-allemagne-club-de-d3-sarrebruck-surprend-moenchengladbach-20240312,Le Figaro,"Coupe d'Allemagne : club de D3, Sarrebruck surprend Mönchengladbach","Sarrebruck a éliminé le Borussia Mönchengladbach ce mardi à l’occasion du dernier quart de finale.

Sarrebruck, un club de 3e division, a réussi mardi l'exploit d'éliminer le Borussia Mönchengladbach en quart de finale de Coupe d'Allemagne (2-1), laissant Leverkusen comme unique représentant de l'élite dans le dernier carré. Le FC Sarrebruck a marqué dans la dernière minute du temps additionnel (90+3), et recevra en demi-finale le 2 avril Kaiserslautern, pensionnaire de D2.

Le lendemain, le leader toujours invaincu du championnat Leverkusen recevra un autre club de D2, le Fortuna Düsseldorf, dans l'autre demi-finale. La finale est programmée le 25 mai à Berlin.",Le Figaro avec AFP,"football, allemagne, bundesliga, résultats, calendrier, classement, match, direct, foot, championnat, bayern munich, borussia dortmund, schalke 04, Leipzig, red bull",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/sports/football/ligue-des-champions/ligue-des-champions-arsenal-s-en-sort-aux-tirs-au-but-face-a-porto-20240312,Le Figaro,Ligue des champions : Arsenal s'en sort aux tirs au but face à Porto,"Éliminés lors de leurs sept dernières apparitions en 8es de finale de C1, les Gunners ont vaincu le signe indien mardi, face au FC Porto. Ils participeront aux quarts de finale.

Arsenal de retour en quarts de finale de Ligue des champions. Battus 1-0 à l'aller, les Gunners ont disposé de Porto sur le même score au retour à l'Emirates Stadium, ce mardi, en 8es de finale retour. Et ce sur un but de Leandro Trossard en fin de première période. Assez pour arracher la prolongation. Au final, les deux équipes ont dû en passer par la séance de tirs au but. Et à ce jeu-là, ce sont les joueurs de Mikel Arteta qui ont pris le meilleur (1-0 ap, 4-2 tab). Arsenal retrouve les quarts de finale de C1 pour la première fois depuis… 2010. Le club londonien a vaincu le signe indien : les Canonniers avaient pris la porte lors de leurs sept dernières apparitions en 8es de finale, de 2011 à 2017. Le tirage des quarts de finale se déroulera vendredi (12h), en Suisse. Le Paris Saint-Germain, le Bayern Munich, Manchester City, le Real Madrid et le FC Barcelone font partie des adversaires potentiels d'Arsenal, en attendant les deux derniers huitièmes, mercredi.

Plus d'infos à suivre…",Maël Chrétien,"Arsenal, FC Porto, football, ligue des champions, champions league, coupe d'europe, C1, uefa, résultats, calendrier, classement, groupe, poule, phase finale, match, direct, foot, psg, real madrid, barcelone, lille, liverpool",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/sports/football/ligue-des-champions/ligue-des-champions-dans-la-douleur-le-barca-ecarte-naples-et-se-hisse-en-quarts-20240312,Le Figaro,"Ligue des champions : dans la douleur, le Barça écarte Naples et se hisse en quarts","Tombeurs de Naples ce mercredi, en 8es de finale retour, à Monjuic, les Barcelonais retrouvent les quarts de C1 pour la première fois depuis 2020.

Quatre ans après, le Barça est de retour dans le top 8 européen ! Le club catalan a validé son billet pour les quarts de finale de la Ligue des champions, en s'imposant face à Naples (3-1). Les Blaugrana, tenus en échec à l'aller (1-1), sont passés par tous les sentiments durant ce match retour très emballant.

Le départ canon du Barça

""Le match le plus important de la saison"". Xavi avait clairement annoncé la couleur en conférence de presse d'avant-match. L'enjeu était de taille pour un Barça amoindri par les absences, mais les jeunes pépites catalanes ont su prendre le relais. Sous l'impulsion d'un Yamal déjà indispensable malgré ses 16 ans, et auteur d'une entame monstrueuse. Les Blaugrana ont rapidement concrétisé leur domination et ont pensé faire le plus dur en inscrivant deux buts coup sur coup au quart d'heure de jeu. Lopez (1-0, 15e) et Cancelo (2-0, 17e) ont su profiter des oublis d'une défense napolitaine perdue. Bien mal embarqué, le champion d'Italie en titre a vécu un calvaire durant la première demi-heure, face au pressing et aux projections adverses. Mais la réduction de l'écart signée Rrahmani a complètement rebattu les cartes (2-1, 30e).

Lewandowski crucifie Naples

Surpris sur le premier mouvement collectif du Napoli, le Barça a immédiatement perdu toute maîtrise. Ter Stegen a dû s'interposer dans la foulée sur une tête de Di Lorenzo (34e). Dans le dur avant la pause, les Blaugrana se sont longtemps contentés de repousser les assauts d'un Napoli retrouvé, mais pas assez réaliste dans le dernier geste. Seul Lindstrom s'est procuré une véritable occasion d'égaliser, mais sa tête a manqué le cadre de quelques centimètres (80e). Le coaching de Xavi et le repositionnement de Gundogan dans un rôle plus offensif ont permis aux Blaugrana de reprendre le contrôle des débats en fin de match. Lewandowski, peu en vue jusque-là, s’est chargé de mettre fin au suspense, en concluant tranquillement une action d’école (3-1, 83e). Le dernier rebondissement d'une rencontre rythmée et disputée, qui marque le retour du Barça en quarts de finale. Et la fin d’une attente interminable pour un club ce standing.",Jérémy Vasseur,"FC Barcelone, SS Napoli, football, ligue des champions, champions league, coupe d'europe, C1, uefa, résultats, calendrier, classement, groupe, poule, phase finale, match, direct, foot, psg, real madrid, barcelone, lille, liverpool",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/sports/football/ligue-des-champions/ligue-des-champions-on-a-fait-ce-qu-il-fallait-meme-si-ca-a-ete-difficile-souffle-kounde-apres-la-qualif-du-barca-20240312,Le Figaro,"Ligue des champions : «On a fait ce qu'il fallait… même si ça a été difficile», souffle Koundé, après la qualif’ du Barça","Le défenseur international tricolore revient sur la qualification de «son» FC Barcelone aux dépens de Naples ce mardi, en 8es de finale de Ligue des champions.

Jules Koundé (défenseur du Barça, après la victoire 2-1 face à Naples en 8es de finale retour de C1) : «Ça fait quatre ans que le Barça n'avait plus atteint les quarts de finale de Ligue des champions, donc c'est un grand plaisir. On a fait ce qu'il fallait… même si ça a été difficile. On a très bien commencé avec ces deux buts, et après, sur un moment de relâchement, un but qu'on a déjà pris, ça nous met un peu dedans. Et derrière, un peu de doute s'est installé… On a déjoué, on a moins bien pressé et on leur a laissé prendre confiance. Ça a donc été plus compliqué…

La jeunesse barcelonaise ? On a beaucoup de talents, une équipe très jeune, et ils nous apportent beaucoup. Et ce soir (mardi) encore, entre Lamine (Yamal), Fermin (Lopez) et (Pau) Cubarsi, qui est vraiment très prometteur, c'est bien. (sur sa performance) Khvicha Kvaratskhelia stoppé ? C'est bien (sourire). C'est un très bon joueur. Il fallait minimiser son influence. On l'a bien fait, collectivement ou individuellement. Les ambitions du Barça en C1 ? Il faut toujours être ambitieux. On va tranquillement voir contre qui on va tomber (lors du tirage vendredi). Bien évidemment, on essaiera de passer en demies. Le PSG ? Pourquoi pas, je n'ai pas de préférence.» (sur Canal+)",Le Figaro,"Jules Koundé, football, ligue des champions, champions league, coupe d'europe, C1, uefa, résultats, calendrier, classement, groupe, poule, phase finale, match, direct, foot, psg, real madrid, barcelone, lille, liverpool",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/sports/tennis/tennis-alcaraz-en-quarts-a-indian-wells-20240312,Le Figaro,Tennis : Alcaraz en quarts à Indian Wells,"Le numéro 2 mondial espagnol a écarté Fabian Marozsan ce mardi, en 8es de finale du Masters 1000 d’Indian Wells.

L'Espagnol Carlos Alcaraz, tenant du titre du Masters 1000 d'Indian Wells (Californie, États-Unis), s'est qualifié mardi pour les quarts de finale du tournoi en éliminant le Hongrois Fabian Marozsan (6-3, 6-3). N.2 mondial, Alcaraz a pris sa revanche sur Marozsan, 58e mondial, qui l'avait battu lors de leur seule confrontation l'an dernier à Rome.

L'Espagnol, déjà deux fois titré en Grand Chelem à seulement 20 ans, affrontera soit l'Allemand Alexander Zverez (6e), soit l'Australien Alex de Minaur (10e) en quarts jeudi. Le Tchèque Jiri Lehecka, 32e joueur mondial, a créé une petite surprise en dominant le Grec Stefanos Tsitsipas (11e) 6-2, 6-4 pour se hisser lui aussi en quarts.",Le Figaro avec AFP,"Carlos Alcaraz, Tennis, infos, actualité, résultats, calendrier, classement, ATP, WTA, roland garros, us open, wimbledon, masters series, open d'australie, masters 500, masters 1000, coupe davis, fed cup, jeux olympiques",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/choix-redaction/la-selection-du-figaro-live-les-videos-qu-il-ne-fallait-pas-rater-ce-mardi-12-mars-20240312,Le Figaro,La sélection du Figaro Live: les vidéos qu'il ne fallait pas rater ce mardi 12 mars,"Accord entre l’état et la corse, Emmanuel Macron exhorte les hauts fonctionnaires, une raffinerie incendiée en Russie… Chaque jour, la rédaction Le Figaro Live vous partage les vidéos les plus marquantes pour suivre l'actualité en quelques clics seulement.

Autonomie de la Corse: accord entre l'État et les élus sur une «écriture constitutionnelle»

«C'est bibi qui paye»: Emmanuel Macron exhorte les hauts fonctionnaires à simplifier «plus vite» l'action de l'État

Une raffinerie et un dépôt de carburant incendiés en Russie après une attaque de drones ukrainiens

Les États-Unis travaillent pour «mettre en place rapidement une transition politique en Haïti»

Les Houthis menacent d'intensifier leurs opérations en mer Rouge pendant le ramadan

Bordeaux: la Garonne déborde sur les quais de la ville

Fabien Roussel compare Gaza au ghetto de Varsovie

Le programme du mercredi 13 mars

Toute la journée : un live dès que l'actualité l'exige.",,"Corse, Gérald Darmanin, Haïti, Emmanuel Macron, actualité, informations, titres, actualité internationale, actualité française, sport, économie",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/conjoncture/wall-street-en-hausse-tiree-par-la-technologie-le-s-p-500-a-un-record-dow-jones-0-57-nasdaq-1-20-20240312,Le Figaro,"Wall Street en hausse tirée par la technologie, le S&P 500 à un record : Dow Jones +0,57%, Nasdaq +1,20%","La bourse de New York a clôturé en nette hausse mardi entraînée par de bons résultats dans la technologie.

La Bourse de New York, peu échaudée par une inflation américaine un peu plus forte que prévu, a clôturé en nette hausse mardi entraînée par de bons résultats dans la technologie qui ont mené le S&P 500 à un nouveau record.

L'indice Dow Jones a gagné 0,61%, le Nasdaq, à dominante technologique, a bondi de 1,20% et l'indice S&P 500 s'est hissé à un nouveau sommet en clôture, grimpant de 1,12%, selon des résultats provisoires.",Le Figaro avec AFP,"Wall Street, Actualité économique, entreprises, économie, bourse, emploi, impôts, cac 40, creation d'entreprise, chef d'entreprise, grands patrons, consommation, multinationales, privatisation, délocalisations, concurrence, monopole, crise, licenciements, unio",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,2,"February, Inflation, Rates"
https://www.lefigaro.fr/faits-divers/ardeche-le-corps-d-un-homme-decouvert-apres-les-intemperies-20240312,Le Figaro,Le corps d’un homme découvert en Ardèche après les intempéries,"Selon une source gendarmerie, la personne disparue est le responsable d'une centrale hydroélectrique qui était parti contrôler son installation.

Un corps a été découvert mardi soir en Ardèche en aval de l'endroit où un homme a disparu après les fortes intempéries du week-end, mais les secours n'ont pu y accéder, a indiqué la préfecture du département.

Endroit inaccessible

Le corps a été signalé par des chasseurs et des proches de l'homme porté disparu depuis samedi soir à Saint Martin de Valamas, a précisé à l'AFP la préfecture. «L'endroit est pour l'heure inaccessible par les unités de gendarmes et pompiers» et le corps n'a pu être identifié, a-t-elle poursuivi. Une nouvelle tentative pour y accéder aura lieu mercredi matin.

Selon une source gendarmerie, la personne disparue est le responsable d'une centrale hydroélectrique qui était parti contrôler son installation. Les violentes intempéries du week-end dans le Sud-Est ont fait six morts, dont une fillette de quatre ans dans le Gard. Son frère de 13 ans était toujours porté disparu mardi soir.",Le Figaro avec AFP,"Ardèche, intempéries, faits divers, crime, affaires, enquêtes, procès, accident, évènements, police, justice, criminalité, violences, insécurité, islamisme",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.lefigaro.fr/faits-divers/paris-un-homme-de-19-ans-tue-lors-d-une-rixe-dans-le-18e-arrondissement-20240312,Le Figaro,Paris : un homme de 19 ans tué lors d’une rixe dans le 18e arrondissement,"L’auteur présumé des faits a 17 ans et a été interpellé par les forces de l’ordre.

Un jeune homme de 19 ans a été mortellement poignardé lors d'une rixe dans le 18e arrondissement de Paris ce mardi soir, a appris Le Figaro de sources concordantes. L’altercation a eu lieu en fin d’après-midi près de l'école maternelle Tchaïkovski. Les autorités ont appréhendé le suspect présumé, un jeune d’homme de 17 ans originaire du quartier.

Blessure au thorax

La victime, habitante du 19e arrondissement, a été poignardée à plusieurs reprises au niveau du thorax, selon nos informations. Les agents de la Sûreté régionale des transports, dont le siège est situé à proximité du lieu de l’altercation, sont intervenus rapidement et ont procédé à l’arrestation du suspect. Malgré l’intervention rapide des forces de l’ordre, le jeune homme est décédé des suites de ses blessures.

La mairie du 18e a annoncé auprès du Figaro que le 2e district de la direction régionale de la police judiciaire est en charge de l'enquête. La police municipale a renforcé, dès mardi soir, sa présence à proximité des écoles, précise la municipalité. Le maire du 18e, Éric Lejoindre, a exprimé ses condoléances à la famille de la victime et son soutien aux habitants du quartier sur les réseaux sociaux.",Paloma Auzeau,"Rixe, faits divers, crime, affaires, enquêtes, procès, accident, évènements, police, justice, criminalité, violences, insécurité, islamisme",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.lefigaro.fr/sports/basket/basket-bourg-en-bresse-en-demi-finales-de-l-eurocoupe-20240312,Le Figaro,Basket : Bourg-en-Bresse en demi-finales de l’Eurocoupe,"Les joueurs de Frédéric Fauthoux ont écarté les Ukrainiens de Prometey BC (95-82) mardi, à Bourg-en-Bresse.

Bourg-en-Bresse s'est qualifié pour les demi-finales de l'Eurocoupe de basket après sa victoire contre les Ukrainiens de Prometey BC (95-82) mardi à domicile sur un match sec lors du premier quart de finale européen de son histoire. Les Bressans affronteront à partir du 26 mars dans une série au meilleur des trois rencontres l'Hapoël Tel Aviv ou les Turcs de Besiktas, avec match d'appui éventuel à la maison.

Ils pourraient être rejoints dans le dernier carré de la deuxième compétition continentale, dont le vainqueur gagne un billet pour l'Euroligue, par Paris, qui affronte jeudi les Espagnols de Badalone.

Troisième quart-temps de folie

Mardi, ils ont fait exploser Prometey Slobozhanske (basé à Riga en Lettonie depuis l'invasion russe) dans le troisième quart-temps, remporté 34 à 13. Grâce à l'énergie de Kevin Kokila dans la raquette (9 pts et 3 rebonds) et de Jequan Lewis à la mène (12 pts et 7 rbds), un jeu de transition échevelé, une supériorité au rebond offensif (11/27 au total) et une adresse longue distance, ils menaient de 22 longueurs (79-57) à l'issue de cette période.

Les joueurs de Frédéric Fauthoux ont ensuite résisté au retour des Ukrainiens, revenus à 11 points (89-78) à 2 min 20 sec du buzzer après une paire de tirs primés et distancés définitivement après un dunk rageur d'Isiaha Mike (17 pts).",Le Figaro avec AFP,"Bourg-en-Bresse, Basket, basketball, euro, championnats d'Europe, mondial, nba, euroligue, equipe de France, pro A, pro B, play-offs, France, live, direct, stats, statistiques, photos, résultats, asvel, le mans, cholet, limoges",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
