url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.independent.co.uk/news/world/americas/california-university-diddy-blackface-costume-b2637886.html,The Independent,California university investigates ‘offensive’ viral TikTok of blackface Diddy costume,"San Diego State University is investigating an image that went viral over the weekend of youths dressed for Halloween as a bottle of baby oil and Sean “Diddy” Combs, a costume that included blackface.

The image was first posted on TikTok by a user thought to attend the university, with the caption, “How the group chat dressed for Halloween.” It later spread widely on social media sites like X.

The costume is a reference to the allegations against Combs, who is facing federal racketeering and sex trafficking charges, as well as scores of sexual misconduct suits, alleging he used his money and influence as a music mogul to carry out serial abuse.

Federal agents seized more than 1,000 bottles of baby oil and lubricant from Combs’ Miami home last year, which prosecutors allege he used for “freak off” sex parties. Combs has denied wrongdoing.

SDSU said in a statement those pictured in the costume were not students and that the individual who posted the images on social media originally was not one of those in the image.

“We appreciate those who have come forward to share information about images circulating online,” the school said in a statement on Monday. “The use of blackface and any actions making light of sexual assault are deeply offensive and have no place in our community. The individuals photographed are not confirmed SDSU students, and our team is working to confirm information, including the location and identities of those involved.”

“I don’t think that’s acceptable for Halloween or any day of the week. These are real stories. It’s not a costume,"" SDSU Carina Virta told NBC San Diego.

""I feel like that’s wrong because there’s a lot of people that have gone through traumatic experiences, and they may not want to step forward because people will mock them and think it’s a joke,” another student, Natash Ngonzo, told the outlet.

Blackface originated in the 19th century and featured heavily made-up white performers pretending to be Black people and using offensive racial stereotypes that have deeply influenced present-day racial bias.",Josh Marcus,"TikTok, San Diego, California, blackface, Internal",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/world/americas/crime/student-stabbed-classmate-school-texas-b2637846.html,The Independent,Student stabbed to death by classmate on Texas high school campus,"An 18-year-old suspect was arrested after a teenager was stabbed to death with a “large knife” when two students got into a fight at a Texas high school.

Austin Travis County Emergency Medical Services responded to a call for a stabbing on Tuesday lunchtime and when paramedics arrived at Manor Senior High School they discovered an injured male student.

Officials say that first responders tried to resuscitate the victim who was later pronounced dead. No other details, including the identities of the students involved, were released. The alleged assailant was not injured

School officials ended classes early and students were picked up in the early afternoon. Buses started transporting children who normally take the bus home. The school was put on a lockdown, which has now been lifted.

Officials announced classes for Wednesday and Thursday would be canceled.

The Manor Police Department said the incident was isolated and is under investigation by the Manor Independent School District and police department.

Dr Robert Sormani, the school district’s superintendent, said in a written statement: “This loss is devastating for our entire community, and our hearts go out to their family, friends, and all who knew him. We know that words cannot ease the pain, and we are all grieving together.”

He said the district decided to cancel classes to allow students to process the loss. Counselors will be available for students on Wednesday at Manor Early College and Thursday at the high school.

“It is important that everyone feels safe and heard during this time, and our team will be here to help,” Sormani wrote. A decision about whether to cancel classes on Friday and extracurricular activities will be announced later.

“We understand that this situation raises concerns, and we will also be reviewing the security on campuses. Our priority is to be present for all students and staff as we navigate this difficult time together,” he said.",Michelle Del Rey,"Texas, School, stabbing, Internal",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/arts-entertainment/music/news/liam-payne-new-song-postponed-sam-pounds-b2637891.html,The Independent,Liam Payne’s posthumous single pulled over family concerns: ‘Not the time yet’,"Grammy-winning producer Sam Pounds has said he is postponing what would have been Liam Payne’s first posthumous release, less than a day after first announcing “Do No Wrong.”

The single had been set to arrive this Friday, less than two weeks after the former One Direction star died suddenly aged 31.

In a statement on X/Twitter, Pounds wrote: “Today I’m deciding to hold ‘Do No Wrong’ and leave those liberties up to all family members. I want all proceeds go to a charity of their choosing (or however they desire).

“Even though we all love the song it’s not the time yet. We are all still mourning the passing of Liam and I want the family to morn in peace and in prayer. We will all wait. With love Sam Pounds.”

Earlier, Pounds had described the song as a tribute to the late singer’s spirit as he shared a message to Payne’s family and fans.

“I pray that this will be a blessing to the world like Liam has always dreamed,” Pounds wrote on X/Twitter.

“I pray angels will comfort you all every day while listening. I pray that this song will be a blessing to Ruth, Bear, and the entire family.

“I pray that this song eclipses the negative echoes. I pray supernatural positive healing power will embrace each and every one of you.”

The announcement that Pounds is postponing the release was widely praised online, with one fan writing: “Thank you Sam.....for holding off on it. There will be a right time for it in the future....for now we mourn.”

In a separate tribute, Pounds posted a clip of himself in the studio with Payne and wrote: “This is how I’ll always remember you, brother. The happy, funny, and talented brother, father, and friend.”

Payne died after falling from the third-floor balcony of his room at the CasaSur Palermo Hotel in Buenos Aires, Argentina, on 16 October.

An autopsy report confirmed that he died from injuries sustained as a result of the fall.

Born in Wolverhampton, Payne shot to fame as one of the five members of UK boyband One Direction, who first formed on the ITV reality show The X Factor in 2010.

Along with bandmates Niall Horan, Harry Styles, Zayn Malik and Liam Tomlinson, Payne achieved a number of hit singles and four No 1 albums in the US.

After the band went on an indefinite hiatus in 2016, Payne followed his former 1D members in launching a solo career, debuting with his Top 10 single “Strip That Down” featuring US rapper Quavo.

His first album, LP1, came out in 2019. He released a new single, “Teardrops”, earlier this year.",Kevin E G Perry,"Liam Payne, One Direction, Internal",2024-10-30,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/life-style/dragons-den-sara-davies-strictly-come-dancing-diabetes-b2637472.html,The Independent,Dragons’ Den star explains why she decided not to lose weight for Strictly despite being ‘yo-yo dieter’,"Dragons’ Den star Sara Davies has revealed why she decided not to lose weight for her stint on Strictly Come Dancing despite being a self-described “yo-yo dieter”.

The businesswoman and entrepreneur shot to fame after becoming the youngest-ever Dragon to join the show in 2019, at the age of 35. She is known for her business acumen and investing expertise after setting up a highly successful arts and crafts business from her university bedroom in her early twenties.

In September 2021, she joined the popular dancing contest and was partnered with professional dancer Aljaž Škorjanec, ultimately finishing in the eighth week of the competition.

The 40-year-old said that she was “on top” of her health when she joined the BBC competition, which has recently been beset by controversy. At the time, she had been at “higher risk of type two diabetes in later life” but has since got back to higher levels of glucose, increasing her risk and making her “borderline” diabetic.

“In the run-up to Strictly, I got really on top of it,” she told Prima magazine. “I was running a lot and eating well, all because I was in a routine, so I got in great shape. But then, after I did Strictly, I lost the routine, I lost the motivation and I went back downhill.

“I saw the weight pile back on, which for me is a problem.

“Every year on my birthday, my HbA1C check tells me how close my blood sugar levels are to early-onset diabetes. And last year, my HbA1C was right on the borderline.”

According to Diabetes UK, a HbA1c measures your “average blood glucose (sugar) levels for the last two to three months”, and if it is in the higher end than a person can develop diabetes-related issues in their eyes and feet.

Davis described herself as a “yo-yo dieter” and considered losing weight before joining the show but ultimately decided she was “happy with how I look”.

“I’m a big personality and I’m no different when I’m three dress sizes smaller – it really doesn’t bother me at all. What does bother me is the health side of it.”

However, she said that lifestyle changes had caused her to drop three dress sizes by “cutting out sugar” and after she had stopped having chocolate, cake, fruit, and fruit juice, as well as cutting down her alcohol intake.

She advised that “lifestyle changes” are more effective for weight loss in her experience than the “magic bullet” people may hope for.

Diabetes UK advises patients who could be close to being pre-diabetic to consult healthcare professionals for advice on how to change their lifestyle and keep glucose in target levels.",Maira Butt,"Dragons' Den, Strictly Come Dancing, Internal",2024-10-30,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/ap-atlanta-police-police-officers-georgia-bureau-of-investigation-b2637892.html,The Independent,Active shooter at Atlanta hotel is taken into custody after multiple shots fired,"A man armed with several different weapons fired at least 15 gunshots through the walls and door and off the balcony of his apartment at a Four Seasons Hotel in Atlanta during a standoff Tuesday afternoon and was taken into custody, police said.

The 70-year-old suspect used a handgun, shotgun and rifle to fire shots during the altercation, Atlanta Chief of Police Darin Schierbaum said at a press conference. Two police officers shot back during the exchange. One officer and the suspect were taken to a hospital for non-life-threatening injuries, but authorities didn't know whether either were shot, Schierbaum said.

Police officers responded to a call around 10 a.m. about a mental health emergency in the residential area of the hotel in Atlanta's Midtown neighborhood, Schierbaum said. Officers were told that the suspect had been involved in an altercation with a hotel employee, he said.

After police attempted to get the suspect to come to the door of his room and peacefully surrender, he started firing, Schierbaum said. The suspect also had multiple knives and threw at least one weapon off the balcony.

The suspect eventually raised his hands, and a SWAT team went to his door and took him into custody, Schierbaum said.

Police had set up a perimeter around the hotel and ordered a shelter in place advisory for nearby residents. They later lifted the advisory but asked people to avoid the area.

Authorities are investigating the altercation as an aggravated assault, Schierbaum said. The Georgia Bureau of Investigation is investigating the officers' use of force, he said.

Nearby streets in the area will remain closed as authorities investigate, police said.",Via AP news wire,"AP, Atlanta, Police, Police officers, Georgia Bureau of Investigation, Swat",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/ap-eric-adams-new-york-city-adams-queens-b2637913.html,The Independent,A New York City law used to padlock suspected illegal pot shops is ruled unconstitutional,"A law that New York City has relied on to padlock scores of suspected unlicensed marijuana shops is unconstitutional because it violates the rights of store owners, a judge ruled Tuesday.

Mayor Eric Adams' administration moved immediately to appeal, saying the city had successfully shut down more than 1,200 illegal shops in a crackdown on the thousands of stores that opened without a license after the state legalized recreational use of the drug.

The ruling was made in the case of a Queens business padlocked in September following an inspection by the sheriff's office that found suspected cannabis and cannabis products for sale without a license.

New powers passed in the state budget earlier this year gave local authorities the ability to inspect and immediately shut down suspected illegal stores while administrative hearings play out. But the final decision remains with the sheriff’s office, meaning it can keep a store closed even if a hearing officer recommends otherwise.

That's what happened in the Queens case — and in many others, attorneys for the businesses say, leading Judge Kevin Kerrigan in his ruling Tuesday to characterize the administrative hearings as “useless, or even a potential farce.”

“Indeed, if the final arbiter has the authority to confer no weight to the hearing, there is no real meaningful ‘opportunity to be heard,’ which vastly increases the risk of erroneous deprivation and raises a due process concern,"" he wrote.

Adams' spokesperson, Liz Garcia, said the city's law department had filed a notice of appeal.

“Illegal smoke shops and their dangerous products endanger young New Yorkers and our quality of life, and we continue to padlock illicit storefronts and protect communities from the health and safety dangers posed by illegal operators,"" she said in an emailed statement.

Attorney Lance Lazzaro predicted the ruling would allow every store that has been shut down to reopen and sue for damages, including for lost business and reputational harm.

“The damages will be astronomical,” said Lazzaro, who represents the Queens store, Cloud Corner.

“The City of New York should be ashamed for allowing this process to happen in the first place,” he said via email.

At an administrative hearing following its closure, Cloud Corner's owner argued that the store was closed when the sheriff entered to conduct the inspection, so no cannabis products were being sold. The hearing officer agreed but despite his dismissal of the summons, the sheriff's office opted to keep the closure order in place for one year.",Carolyn Thompson,"AP, Eric Adams, New York City, Adams, Queens",2024-10-30,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/ap-los-angeles-game-los-angeles-dodgers-espn-b2637894.html,The Independent,"World Series Game 3 averages 13.64 million, beats 'Monday Night Football'","The World Series beat “Monday Night Football” in the battle for television viewers.

The Los Angeles Dodgers' 4-2 victory over the New York Yankees in Game 3 of the Fall Classic averaged 13.64 million viewers on Fox, Fox Deportes and streaming according to early numbers by Nielsen. That beat the 13.4 million that tuned in for the Pittsburgh Steelers' 26-18 win over the New York Giants on ABC, ESPN, ESPN Deportes, ESPN2 and streaming.

The audience for Yankees-Dodgers peaked at 14.25 million from 9-9:15 p.m. EDT. It was the most-watched Game 3 since 2018, when the Dodgers' 18-inning victory over the Red Sox average 13.3 million.

It is Fox's most-viewed prime time telecast on a Monday since Game 5 of the 2013 Series between Boston and St. Louis (14.45 million).

It was the ninth time since 1986 that a World Series game was played on a Monday night, but only the fourth that it went head-to-head against “Monday Night Football” on network television.

Last year marked the first time the NFL beat the Fall Classic on Monday night. The Texas Rangers' 3-1 victory over the Arizona Diamondbacks in Game 3 last year is the least-viewed World Series game on record, averaging 8.13 million viewers. That same night, Detroit's 26-14 victory over Las Vegas averaged 15.2 million on ESPN, ABC and ESPN Deportes.

Through three games, the World Series is averaging 14.42 million, its highest number in seven years.

The game had a 20.0 rating and 52 share in Los Angeles and 11.6 rating and 29 share in New York.

The rating is the percentage of television households tuned in. The share refers to a percentage of the audience viewing it at the time.

___

AP MLB: https://apnews.com/hub/mlb",Via AP news wire,"AP, Los Angeles, Game, Los Angeles Dodgers, ESPN, ABC, New York Yankees, Nielsen, Pittsburgh Steelers, Red Sox, Boston, New York Giants, Detroit, Las Vegas, New York, NFL, MLB, Arizona Diamondbacks, Texas Rangers",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/colorado-ap-secretary-of-state-denver-united-states-b2637893.html,The Independent,"Colorado accidently put voting system passwords online, but officials say election is secure","Voting system passwords were mistakenly put on the Colorado Secretary of State's public-facing website before being spotted and taken down, but the lapse did not pose an immediate threat to the upcoming election, said state election officials Tuesday.

The passwords were one of two unique passwords needed to access Colorado's voting systems, and are just one part of a layered security system, said Jack Todd, spokesperson for the the Secretary of State's office, in a statement.

Colorado’s top elections official, Democratic Secretary of State Jena Griswold, frequently calls Colorado the gold standard for election security. However, she has been criticized by the chairman of the Colorado Republican Party amid heightened scrutiny over election systems in the United States.

Election officials learned last week that the spreadsheet, which held the passwords in a hidden tab, was available online, just days out from the Nov. 5 election.

Once the lapse was discovered, Todd said, the department took immediate action, informed the Cybersecurity and Infrastructure Security Agency, and is working to remedy the situation where necessary.

The executive director of the Colorado Clerks Association, Matt Crane, told 9News that while the lapse was concerning, the association is satisfied with the Colorado Secretary of State's response.

“The truth is, is this a concern? Yes,” Crane said. “Is it being mitigated? Yes.”

The passwords can only be used in-person to access the voting systems, and Colorado law requires that the equipment is surveilled and stored in secure rooms access to which is tracked and logged.

Earlier this month, a Colorado county clerk, Tina Peters, was sentenced to nine years behind bars for a data-breach scheme based in false claims about voting machine fraud in the 2020 presidential race. Peters was found guilty by a jury of allowing a man to misuse a security card to access a county election system and for being deceptive about that person’s identity.",Jesse Bedayn,"Colorado, AP, Secretary of State, Denver, United States, Democratic",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/donald-trump-ap-kamala-harris-white-house-republicans-b2637917.html,The Independent,Two closing arguments show the stark choice between Trump and Harris,"In the shadow of the White House, seven days before the final votes of the 2024 election are cast, Kamala Harris vowed to put country over party and warned that Donald Trump is obsessed with revenge and his own personal interests.

Less than 48 hours earlier inside Madison Square Garden, Trump called his Democratic opponent “a trainwreck who has destroyed everything in her path.” His allies on stage labeled Puerto Rico a “floating island of garbage” and said Harris, who would be the first woman to be president, had begun her career as a prostitute.

Two nights and 200 miles apart, the dueling closing arguments outlined in stark terms the choice U.S. voters face on Nov. 5 when they will weigh two very different visions of leadership and America's future.

Trump's raucous rally, marked by crude and racist insults, highlighted the uglier elements of his coalition. But other parts of it underscored the former businessman's appeal as someone who vows to fix the economy and the border, and as a political outsider eager to defy any and all conventions despite the risks.

Harris, the vice president for the last four years, chose a more formal setting — the grassy Ellipse near the White House — to underscore the seriousness of this moment in American history and the threat Trump poses to democracy. She faced a massive audience in the same place where Trump addressed thousands of his loyalists on Jan. 6, 2021, before they stormed the U.S. Capitol in one of the darkest days of modern history.

But more than simply reminding voters of the danger that Trump poses to U.S. democracy, Harris' remarks were designed to highlight her opponent's record of prioritizing his personal interests instead of the nation's.

""Donald Trump has spent a decade trying to keep the American people divided and afraid of each other. That’s who he is. But America, I am here tonight to say: That’s not who we are,"" Harris said. “I pledge to be a president for all Americans — to always put country above party and above self.”

Senior adviser Jen O’Malley Dillon noted that Harris’ closing argument is designed to reach the narrow slice of undecided voters; many moderate Republicans are among them.

“We know that there are still a lot of voters out there that are still trying to decide who to support — or whether to vote at all,” O'Malley Dillon said. “And this race is extremely close. We talk about it as a margin of error race. We know it is going to be closed out in this final week.”

Trump's team is more focused on energizing his partisan base and reaching infrequent voters across the political spectrum who are frustrated by the direction of the country and looking for change.

Still, Trump framed his comments in recent days with a simple question that cuts across political lines, asking voters whether they are better off now than they were four years ago at the end of his first term. While the nation was still in the throes of the pandemic when Trump left office, polls indicate that most voters are unhappy with the direction of the country today.

Trump has vowed to stage the largest deportation operation in U.S. history and impose broad tariffs to generate revenue and boost American manufacturing.

Ever defiant facing criticism from even some Republicans, Trump on Tuesday called his Madison Square Garden event “a lovefest” and did not address the comments of pro-Trump comedian Tony Hinchcliffe, who called Puerto Rico a “floating island of garbage.” Hinchcliffe also made demeaning jokes about Black people, other Latinos, Palestinians and Jews in his routine before Trump took the stage.

“Nobody’s ever had love like that,” Trump said of the hours-long Sunday event that featured his family members and high-level surrogates and supporters including billionaire Elon Musk, TV psychologist “Dr. Phil” McGraw and former Fox News host Tucker Carlson. “It was really love for our country.”

The Republican former president on Tuesday also offered a dark assessment of Harris' leadership. He said that she “obliterated” the nation's borders, “decimated the middle class,” brought “bloodshed and squalor” to major cities and “unleashed war and chaos all over the world.”

“No person who has caused so much destruction and death at home and abroad should ever be allowed to be the president of the United States,” Trump told dozens of supporters who gathered at his Florida estate.

Trump senior adviser Jason Miller said Trump has made clear his plans to fix the economy, secure the southern border and “improve people’s daily lives.”

“Kamala Harris hasn’t done any of that,” he said. “It’s a message of despair, personal attacks and nothing from Harris or her campaign about what they’re actually going to do to help Americans. So it’s a massive contrast.”

Harris has largely moved on from the “joyful” campaigning style that defined her entrance into the presidential contest this summer. She pledged unity on Tuesday night, but she also cast Trump as someone driven more by revenge and grievance than a commitment to the people.

“This is someone who is unstable, obsessed with revenge, consumed with grievance and out for unchecked power,” Harris said. “This is not a candidate for president who is thinking about how to make your life better.”

She spoke directly to Republican voters at times and promised to listen to those who didn't vote for her if elected. Harris previously said she would include a Republican in her Cabinet.

“Unlike Donald Trump, I don’t believe people who disagree with me are the enemy,"" she said. “He wants to put them in jail. I’ll give them a seat at the table.”

Heading into the speech, the Democrat's campaign was aware of criticism from her party's far-left base that she has been too focused on courting moderate Republican voters. They urged Harris to focus more on working-class priorities than the threat Trump poses to U.S. democracy.

Ultimately, the vice president's speech was designed to tie both issues together. She warned of Trump threatening democratic norms and vowed to take action against high grocery prices and help first-time home buyers with making a down payment.

Pennsylvania Gov. Josh Shapiro, a top Harris ally, said voters can “walk and chew gum at the same time — meaning they can hear an argument about freedom and about something that affects their pocketbook. And I think she is certainly capable to prosecute both cases at the same time.”

Sisters Michelle Detwiler and Renee Newell drove from Virginia to attend Harris' remarks at the Ellipse.

“We both have daughters and we’re both here for them,” Newell said. Detwiler said the location of the event is a “great counterpoint to the imagery of Jan. 6. D.C. is a great city for peaceful public gatherings.

“We’re so glad to be here and to experience the joy,” she said.

___

Associated Press writers Zeke Miller and Fatima Hussein in Washington and Jill Colvin in New York contributed.",Steve Peoples,"Donald Trump, AP, Kamala Harris, White House, Republicans, Democratic, Josh Shapiro, Tucker Carlson, Madison Square Garden, Puerto Rico, Elon Musk, Jason Miller, Cabinet, Latinos, Palestinians, Jews, Fox News, New York, Pennsylvania, Virginia, Washington",2024-10-30,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.independent.co.uk/news/science/dinosaurs-crocodiles-dolphins-study-breathe-b2637808.html,The Independent,Scientists reveal what stopped crocodiles from evolving to become deep divers,"Experts have found the reason crocodiles can’t dive into the deep like others in the ocean.

A team of scientists have reported that the sinuses of the prehistoric ancestors of crocodiles prevented them from evolving into deep divers.

The researchers from the universities of Southampton and Edinburgh compared thalattosuchians, which lived at the time of the dinosaurs, with the predecessors of cetaceans such as whales and dolphins.

For the study, published in the journal Royal Society Open Science, the scientists explained that these cetaceans evolved from land-dwelling mammals.

During this 10 million-year process, their bone-enclosed sinuses reduced and they developed sinuses and air sacs outside of their skulls.

This would have alleviated increases in pressure during deeper dives, allowing dolphins to reach hundreds of metres under the sea and whales to reach thousands of metres without damaging their skulls.

However, the study explains that thalattosuchians, which lived during the Jurassic and Cretaceous periods, fell into two main groups.

These were teleosauridae, which were similar to modern day gharial crocodiles and likely living in coastal waters and estuaries, and the metriorhynchidae, which were more fully adapted to life at sea, with streamlined bodies, flipper-like limbs and tail fins.

The team used computed tomography (a special kind of scan) to measure the sinuses of 11 thalattosuchian skulls, as well as the skulls of 14 modern crocodile species and six other fossil species.

They found that brain-case sinuses reduced across thalattosuchian evolution as they became more aquatic, in a similar way to those of whales and dolphins, possibly for diving and feeding.

But the team also found that once thalattosuchians became fully aquatic, their snout sinuses expanded compared to their ancestors.

Dr Mark Young, lead author of the paper from the University of Southampton, said: “The regression of brain-case sinuses in thalattosuchians mirrors that of cetaceans, reducing during their semi-aquatic phases and then diminishing further as they became fully aquatic.

“Both groups also developed extra-cranial sinuses.

“But whereas the cetacean’s sinus system aids pressure regulation around the skull during deep dives, the expansive snout sinus systems of metriorhynchids precluded it from diving deeply.

“That’s because at greater depths, air within the sinuses would compress, causing discomfort, damage, or even collapse in the snout due to its inability to withstand or equalise the increasing pressure.”

He added that the complex snout sinuses may have developed in metriorhynchids to help drain their salt glands which whales and dolphins do not need because they have highly efficient kidneys that filter out salt from sea water.

Dr Young added: “Thalattosuchians became extinct in the Early Cretaceous period, so we’ll never know for sure if given more evolutionary time they could have converged further with modern cetaceans or whether the need to mechanically drain their salts glands was an impassable barrier to further aquatic specialisation.”",Ben Mitchell,"Crocodiles, Whales, Dolphins, Dinosaurs, PA Ready",2024-10-30,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
